Day,Time,URL
1,16,https://www.msn.com/en-us/health/fitnessworkoutvideo/day-19-30day-core-challenge-video-dailymotion-x8635lt?ocid=entnewsntp&ChallengeId=30-day-weight-loss-challenge-mark-sneddon&type=fitnesschallenge&cvid=466eca9f7f4248b3852dcce38181e7f3
1,122,https://www.msn.com/en-us/health/fitnessworkoutvideo/beginners-shoulders-and-abs-workout-for-building-muscle-video-dailymotion-x546ikt?ocid=entnewsntp&ChallengeId=14-day-arm-blaster-challenge-abe-walton&type=fitnesschallenge&cvid=9019cc74c1dc48298c212e6a9f9e8ea7
2,17,https://www.msn.com/en-us/health/fitnessworkoutvideo/day-8-30day-core-challenge-video-dailymotion-x8635ls?ocid=entnewsntp&ChallengeId=30-day-weight-loss-challenge-mark-sneddon&type=fitnesschallenge&cvid=466eca9f7f4248b3852dcce38181e7f3
2,124,https://www.msn.com/en-us/health/fitnessworkoutvideo/trim-up-the-twodumbbell-muscle-maker-workout-video-dailymotion-x546in1?ocid=entnewsntp&ChallengeId=30-day-muscle-strength-building-challenge-abe-walton&type=fitnesschallenge&cvid=869ffdddea9e41be818bca856e7f2590
3,20,https://www.msn.com/en-us/health/fitnessworkoutvideo/day-23-30day-core-challenge-video-dailymotion-x8635lv?ocid=entnewsntp&ChallengeId=30-day-weight-loss-challenge-mark-sneddon&type=fitnesschallenge&cvid=466eca9f7f4248b3852dcce38181e7f3
3,149,https://www.msn.com/en-us/health/fitnessworkoutvideo/built-for-the-beach-shoulders-and-arms-workout-abs-video-dailymotion-x546iml?ocid=entnewsntp&ChallengeId=14-day-arm-blaster-challenge-abe-walton&type=fitnesschallenge&cvid=9019cc74c1dc48298c212e6a9f9e8ea7
4,26,https://www.msn.com/en-us/health/fitnessworkoutvideo/day-30-30day-core-challenge-video-dailymotion-x8635lw?ocid=entnewsntp&ChallengeId=30-day-weight-loss-challenge-mark-sneddon&type=fitnesschallenge&cvid=466eca9f7f4248b3852dcce38181e7f3
4,155,https://www.msn.com/en-us/health/fitnessworkoutvideo/work-out-with-karlie-kloss-yoga-flow-video-dailymotion-x2ypxof?ocid=entnewsntp&ChallengeId=7-day-power-yoga-challenge-natalie-thomas&type=fitnesschallenge&cvid=b99c8bc68d56454a9474194a75f2dd1a
5,70,https://www.msn.com/en-us/health/fitnessworkoutvideo/bulk-up-leg-workout-part-2-video-dailymotion-x546imd?ocid=entnewsntp&ChallengeId=30-day-muscle-strength-building-challenge-abe-walton&type=fitnesschallenge&cvid=869ffdddea9e41be818bca856e7f2590
5,162,https://www.msn.com/en-us/health/fitnessworkoutvideo/20minute-tabata-fullbody-workout-no-equipment-at-home-video-dailymotion-x81qx68?ocid=entnewsntp&ChallengeId=14-day-fat-blaster-kickstarter-challenge-abe-walton&type=fitnesschallenge&cvid=1c627d6865ce48bc8935997ed0c2c82a
6,70,https://www.msn.com/en-us/health/fitnessworkoutvideo/15minute-bodyweight-gut-check-workout-4-video-dailymotion-x546ini?ocid=entnewsntp&ChallengeId=30-day-muscle-strength-building-challenge-abe-walton&type=fitnesschallenge&cvid=869ffdddea9e41be818bca856e7f2590
6,167,https://www.msn.com/en-us/health/fitnessworkoutvideo/your-7day-detox-made-simple-video-dailymotion-x2sp57p?ocid=entnewsntp&ChallengeId=building-endurance-mental-clarity-natalie-thomas&type=fitnesschallenge&cvid=a6e7f83465854d29a2c15fd61e99b415
7,73,https://www.msn.com/en-us/health/fitnessworkoutvideo/the-155-workout-video-dailymotion-x546ipq?ocid=entnewsntp&ChallengeId=30-day-muscle-strength-building-challenge-abe-walton&type=fitnesschallenge&cvid=869ffdddea9e41be818bca856e7f2590
7,185,https://www.msn.com/en-us/health/fitnessworkoutvideo/yogasan-for-calmness-beginners-yoga-for-relaxation-relax-revive-s01e04-mind-body-soul-video-dailymotion-x7tc94x?ocid=entnewsntp&ChallengeId=7-day-yoga-challenge-calming-the-body-mind-natalie-thomas&type=fitnesschallenge&cvid=1d3b896c59f64516a11e3ad52a7a1b4a
8,88,https://www.msn.com/en-us/health/fitnessworkoutvideo/beginners-legs-and-intervals-workout-for-building-muscle-video-dailymotion-x546ijy?ocid=entnewsntp&ChallengeId=14-day-muscle-maker-challenge-abe-walton&type=fitnesschallenge&cvid=f76a262b5de64ba490c6477606d0274b
8,188,https://www.msn.com/en-us/health/fitnessworkoutvideo/anna-victorias-full-body-workout-transformations-video-dailymotion-x74vwft?ocid=entnewsntp&ChallengeId=7-day-weight-loss-challenge-mark-sneddon&type=fitnesschallenge&cvid=15194197450847e4af63d713447a79c2
9,94,https://www.msn.com/en-us/health/fitnessworkoutvideo/4-time-abs-for-lower-abs-video-dailymotion-xsnaii?ocid=entnewsntp&ChallengeId=the-14-day-six-pack-solution-abe-walton&type=fitnesschallenge&cvid=773857bf59db45999d7d8e22dca8de1a
9,201,https://www.msn.com/en-us/health/fitnessworkoutvideo/hit-the-bench-tone-all-over-with-these-doanywhere-moves-video-dailymotion-x2ngl5q?ocid=entnewsntp&ChallengeId=7-day-weight-loss-challenge-mark-sneddon&type=fitnesschallenge&cvid=15194197450847e4af63d713447a79c2
10,95,https://www.msn.com/en-us/health/fitnessworkoutvideo/beginners-chest-and-triceps-workout-for-building-muscle-video-dailymotion-x546ikg?ocid=entnewsntp&ChallengeId=14-day-arm-blaster-challenge-abe-walton&type=fitnesschallenge&cvid=9019cc74c1dc48298c212e6a9f9e8ea7
10,217,https://www.msn.com/en-us/health/fitnessworkoutvideo/sculpt-sexy-arms-video-dailymotion-x1et2ww?ocid=entnewsntp&ChallengeId=14-day-upper-body-strength-toning-challenge-dionna-harris&type=fitnesschallenge&cvid=7afc5143b9024ab4bf5df9cddfa33c82
11,99,https://www.msn.com/en-us/health/fitnessworkoutvideo/built-for-the-beach-two-workouts-to-get-ripped-abs-video-dailymotion-x546ik5?ocid=entnewsntp&ChallengeId=the-14-day-six-pack-solution-abe-walton&type=fitnesschallenge&cvid=773857bf59db45999d7d8e22dca8de1a
11,237,https://www.msn.com/en-us/health/fitnessworkoutvideo/adding-yoga-to-weight-workouts-lower-body-video-dailymotion-x546isg?ocid=entnewsntp&ChallengeId=30-day-fat-blaster-challenge-abe-walton&type=fitnesschallenge&cvid=a9e1f2de4567486bb0f383e4fbf6e821
12,103,https://www.msn.com/en-us/health/fitnessworkoutvideo/transition-legs-shoulders-and-abs-workout-video-dailymotion-x546ilr?ocid=entnewsntp&ChallengeId=30-day-muscle-strength-building-challenge-abe-walton&type=fitnesschallenge&cvid=869ffdddea9e41be818bca856e7f2590
12,238,https://www.msn.com/en-us/health/fitnessworkoutvideo/the-best-yoga-poses-for-shoulder-flexibility-video-dailymotion-x546it5?ocid=entnewsntp&ChallengeId=14-day-muscle-maker-challenge-abe-walton&type=fitnesschallenge&cvid=f76a262b5de64ba490c6477606d0274b
13,108,https://www.msn.com/en-us/health/fitnessworkoutvideo/45minute-cardio-and-abs-fatloss-workout-redemption-2016-video-dailymotion-x546iny?ocid=entnewsntp&ChallengeId=30-day-fat-blaster-challenge-abe-walton&type=fitnesschallenge&cvid=a9e1f2de4567486bb0f383e4fbf6e821
13,243,https://www.msn.com/en-us/health/fitnessworkoutvideo/watch-this-treadmill-routine-to-tone-your-entire-body-video-dailymotion-x28c3zo?ocid=entnewsntp&ChallengeId=14-day-fat-blaster-kickstarter-challenge-abe-walton&type=fitnesschallenge&cvid=1c627d6865ce48bc8935997ed0c2c82a
14,109,https://www.msn.com/en-us/health/fitnessworkoutvideo/maxed-out-muscle-chest-workout-video-dailymotion-x546ia8?ocid=entnewsntp&ChallengeId=30-day-muscle-strength-building-challenge-abe-walton&type=fitnesschallenge&cvid=869ffdddea9e41be818bca856e7f2590
14,246,https://www.msn.com/en-us/health/fitnessworkoutvideo/james-grages-resistanceband-only-chest-workout-explained-video-dailymotion-x7qp841?ocid=entnewsntp&ChallengeId=14-day-arm-blaster-challenge-abe-walton&type=fitnesschallenge&cvid=9019cc74c1dc48298c212e6a9f9e8ea7
15,119,https://www.msn.com/en-us/health/fitnessworkoutvideo/back-and-biceps-workout-redemption-2016-video-dailymotion-x546img?ocid=entnewsntp&ChallengeId=30-day-muscle-strength-building-challenge-abe-walton&type=fitnesschallenge&cvid=869ffdddea9e41be818bca856e7f2590
15,251,https://www.msn.com/en-us/health/fitnessworkoutvideo/home-workout-build-better-back-muscles-only-using-resistance-bands-video-dailymotion-x7q0q3a?ocid=entnewsntp&ChallengeId=14-day-arm-blaster-challenge-abe-walton&type=fitnesschallenge&cvid=9019cc74c1dc48298c212e6a9f9e8ea7
16,121,https://www.msn.com/en-us/health/fitnessworkoutvideo/the-21day-shred-fullbody-workout-to-build-muscle-and-burn-fat-video-dailymotion-x546iq0?ocid=entnewsntp&ChallengeId=14-day-muscle-maker-challenge-abe-walton&type=fitnesschallenge&cvid=f76a262b5de64ba490c6477606d0274b
16,262,https://www.msn.com/en-us/health/fitnessworkoutvideo/try-this-13minute-ab-workout-from-kayla-itsiness-new-100-equipmentfree-program-video-dailymotion-x7vebma?ocid=entnewsntp&ChallengeId=14-day-torch-and-tone-challenge-karen-barnard&type=fitnesschallenge&cvid=acb153966af34dc0aec1af56b7604cb4
